desc_distrito_local,desc_epigrafe,count_2015,count_2018,diff_perc,diff
ARGANZUELA,"COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA CON OBRADOR",7,9,28.57142857142857,2
ARGANZUELA,"COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR",33,31,-6.0606060606060606,-2
ARGANZUELA,COMERCIO AL POR MENOR DE BICICLETAS,6,10,66.66666666666666,4
ARGANZUELA,"COMERCIO AL POR MENOR DE CAFE, INFUSIONES Y CHOCOLATE",3,4,33.33333333333333,1
ARGANZUELA,COMERCIO AL POR MENOR DE CALZADO Y ARTICULOS DE CUERO EN ESTABLECIMIENTOS ESPECIALIZADOS,42,44,4.761904761904762,2
ARGANZUELA,COMERCIO AL POR MENOR DE CARNICERIA,61,48,-21.311475409836063,-13
ARGANZUELA,COMERCIO AL POR MENOR DE CARNICERIA-CHARCUTERIA,9,7,-22.22222222222222,-2
ARGANZUELA,COMERCIO AL POR MENOR DE CARNICERIA-SALCHICHERIA,7,9,28.57142857142857,2
ARGANZUELA,COMERCIO AL POR MENOR DE CASQUERIA,6,4,-33.33333333333333,-2
ARGANZUELA,COMERCIO AL POR MENOR DE CHARCUTERIA,52,48,-7.6923076923076925,-4
ARGANZUELA,COMERCIO AL POR MENOR DE COLCHONERIA,10,8,-20,-2
ARGANZUELA,COMERCIO AL POR MENOR DE COMBUSTIBLE PARA LA AUTOMOCION EN ESTABLECIMIENTOS ESPECIALIZADOS,4,5,25,1
ARGANZUELA,COMERCIO AL POR MENOR DE CONGELADOS,56,41,-26.785714285714285,-15
ARGANZUELA,COMERCIO AL POR MENOR DE ELECTRODOMESTICOS,19,17,-10.526315789473683,-2
ARGANZUELA,COMERCIO AL POR MENOR DE EQUIPOS O APARATOS AUDIOVISUALES,3,1,-66.66666666666666,-2
ARGANZUELA,COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS CON OBRADOR,11,9,-18.181818181818183,-2
ARGANZUELA,COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR,134,127,-5.223880597014925,-7
ARGANZUELA,COMERCIO AL POR MENOR DE FRUTOS SECOS Y VARIANTES,22,23,4.545454545454546,1
ARGANZUELA,COMERCIO AL POR MENOR DE GOLOSINAS,7,8,14.285714285714285,1
ARGANZUELA,COMERCIO AL POR MENOR DE HELADOS CON OBRADOR SIN BARRA DE DEGUSTACION,1,3,200,2
ARGANZUELA,COMERCIO AL POR MENOR DE HELADOS SIN OBRADOR,5,8,60,3
ARGANZUELA,COMERCIO AL POR MENOR DE INSTRUMENTOS MEDICOS Y ORTOPEDICOS,4,1,-75,-3
ARGANZUELA,COMERCIO AL POR MENOR DE INSTRUMENTOS MUSICALES,1,4,300,3
ARGANZUELA,"COMERCIO AL POR MENOR DE JOYAS, RELOJERIA Y BISUTERIA",34,30,-11.76470588235294,-4
ARGANZUELA,COMERCIO AL POR MENOR DE JUEGOS Y JUGUETES,7,7,0,0
ARGANZUELA,"COMERCIO AL POR MENOR DE LECHE, PRODUCTOS LACTEOS Y BEBIDAS REFRESCANTES",4,3,-25,-1
ARGANZUELA,COMERCIO AL POR MENOR DE LIBROS,12,10,-16.666666666666664,-2
ARGANZUELA,COMERCIO AL POR MENOR DE MAQUINARIA Y EQUIPOS DE OFICINA,2,2,0,0
ARGANZUELA,"COMERCIO AL POR MENOR DE MASAS Y PATATAS FRITAS, CHURRERIA CON OBRADOR",5,5,0,0
ARGANZUELA,COMERCIO AL POR MENOR DE MATERIAL DE OPTICA,31,33,6.451612903225806,2
ARGANZUELA,COMERCIO AL POR MENOR DE MATERIAL ELECTRICO,13,13,0,0
ARGANZUELA,COMERCIO AL POR MENOR DE MATERIAL ELECTRONICO,9,11,22.22222222222222,2
ARGANZUELA,COMERCIO AL POR MENOR DE MATERIAL FOTOGRAFICO Y FOTOGRAFIA,10,10,0,0
ARGANZUELA,COMERCIO AL POR MENOR DE MATERIALES DE CONSTRUCCION,8,10,25,2
ARGANZUELA,COMERCIO AL POR MENOR DE MENAJE DEL HOGAR,1,4,300,3
ARGANZUELA,COMERCIO AL POR MENOR DE MUEBLES,33,35,6.0606060606060606,2
ARGANZUELA,COMERCIO AL POR MENOR DE MUEBLES DE COCINA,14,14,0,0
ARGANZUELA,COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR,71,64,-9.859154929577464,-7
ARGANZUELA,COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA SIN OBRADOR,19,23,21.052631578947366,4
ARGANZUELA,"COMERCIO AL POR MENOR DE PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-BARRA DEGUSTACION",15,13,-13.333333333333334,-2
ARGANZUELA,"COMERCIO AL POR MENOR DE PASTELERIA, CONFITERIA, REPOSTERIA SIN OBRADOR",26,34,30.76923076923077,8
ARGANZUELA,"COMERCIO AL POR MENOR DE PERIODICOS, REVISTAS Y ARTICULOS DE PAPELERIA",31,28,-9.67741935483871,-3
ARGANZUELA,COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS CON OBRADOR (INCLUYE COCCION),2,2,0,0
ARGANZUELA,COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR,56,47,-16.071428571428573,-9
ARGANZUELA,COMERCIO AL POR MENOR DE PRENDAS DE VESTIR EN ESTABLECIMIENTOS ESPECIALIZADOS,102,97,-4.901960784313726,-5
ARGANZUELA,COMERCIO AL POR MENOR DE PRODUCTOS ALIMENTICIOS NO PERECEDEROS ENVASADOS,26,40,53.84615384615385,14
ARGANZUELA,"COMERCIO AL POR MENOR DE PRODUCTOS AUDIOVISUALES EN ESTABLECIMIENTOS ESPECIALIZADOS (CD,DVD,â€¦)",4,4,0,0
ARGANZUELA,COMERCIO AL POR MENOR DE PRODUCTOS DE DROGUERIA,8,11,37.5,3
ARGANZUELA,COMERCIO AL POR MENOR DE PRODUCTOS DE HERBOLARIO,23,21,-8.695652173913043,-2
ARGANZUELA,"COMERCIO AL POR MENOR DE PRODUCTOS DE PRECIO UNICO, BAZARES Y ASIMILABLES",71,66,-7.042253521126761,-5
ARGANZUELA,COMERCIO AL POR MENOR DE PRODUCTOS DE TELEFONIA Y TELECOMUNICACIONES,38,37,-2.631578947368421,-1
ARGANZUELA,COMERCIO AL POR MENOR DE PRODUCTOS PARAFARMACEUTICOS,2,1,-50,-1
ARGANZUELA,"COMERCIO AL POR MENOR DE PUERTAS, VENTANAS Y PERSIANAS",15,16,6.666666666666667,1
ARGANZUELA,COMERCIO AL POR MENOR DE SANEAMIENTOS,6,8,33.33333333333333,2
ARGANZUELA,"COMERCIO AL POR MENOR DE SELLOS, MONEDAS Y MEDALLAS",1,1,0,0
ARGANZUELA,"COMERCIO AL POR MENOR DE SEMILLAS, ABONOS, PLANTAS Y FLOR CORTADA",16,22,37.5,6
ARGANZUELA,COMERCIO AL POR MENOR DE TABACOS Y ARTICULOS DE FUMADOR,32,34,6.25,2
ARGANZUELA,COMERCIO AL POR MENOR DE TEXTILES PARA EL HOGAR,31,29,-6.451612903225806,-2
ARGANZUELA,COMERCIO AL POR MENOR DE VINOS Y ALCOHOLES (BODEGA) CON CONSUMO,5,4,-20,-1
