desc_situacion_local,id_local,desc_distrito_local,desc_barrio_local,clase_vial_acceso,desc_vial_acceso,rotulo,desc_seccion,desc_division,desc_epigrafe,categoria
Abierto,270392960,ARGANZUELA,IMPERIAL            ,PASEO                   ,PONTONES                                          ,COLEGIO JOAQUIN COSTA I  (PRIMARIA),EDUCACI0N,EDUCACI0N,CENTRO DE INFANTIL Y PRIMARIA PUBLICO,Educacion
Abierto,270393261,CENTRO,SOL                 ,CALLE                   ,CARRETAS                                          ,STRADIVARIUS                                      ,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACI0N DE VEHICULOS DE MOTOR Y MOTOCICLETAS,"COMERCIO AL POR MENOR, EXCEPTO DE VEHICULOS DE MOTOR Y MOTOCICLETAS",COMERCIO AL POR MENOR DE PRENDAS DE VESTIR EN ESTABLECIMIENTOS ESPECIALIZADOS,Tienda de ropa
Abierto,270395783,USERA,ORCASUR             ,AVENIDA                 ,ORCASUR                                           ,FARMACIA,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACI0N DE VEHICULOS DE MOTOR Y MOTOCICLETAS,"COMERCIO AL POR MENOR, EXCEPTO DE VEHICULOS DE MOTOR Y MOTOCICLETAS",FARMACIA,Farmacia
Abierto,270397447,CENTRO,JUSTICIA            ,CALLE                   ,BARQUILLO                                         ,BARBOUR INTERNATIONAL,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACI0N DE VEHICULOS DE MOTOR Y MOTOCICLETAS,"COMERCIO AL POR MENOR, EXCEPTO DE VEHICULOS DE MOTOR Y MOTOCICLETAS",COMERCIO AL POR MENOR DE PRENDAS DE VESTIR EN ESTABLECIMIENTOS ESPECIALIZADOS,Tienda de ropa
Abierto,270397659,CENTRO,UNIVERSIDAD         ,CALLE                   ,CORREDERA ALTA DE SAN PABLO                       ,WASABI SHOP,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACI0N DE VEHICULOS DE MOTOR Y MOTOCICLETAS,"COMERCIO AL POR MENOR, EXCEPTO DE VEHICULOS DE MOTOR Y MOTOCICLETAS",COMERCIO AL POR MENOR DE PRENDAS DE VESTIR EN ESTABLECIMIENTOS ESPECIALIZADOS,Tienda de ropa
Abierto,270400192,CENTRO,UNIVERSIDAD         ,CALLE                   ,CONDE DUQUE                                       ,REQUEJO LOPEZ ELENA AMELIA,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACI0N DE VEHICULOS DE MOTOR Y MOTOCICLETAS,"COMERCIO AL POR MENOR, EXCEPTO DE VEHICULOS DE MOTOR Y MOTOCICLETAS",FARMACIA,Farmacia
Abierto,270409383,USERA,ZOFIO               ,CALLE                   ,SILVIO ABAD                                       ,CARNICERIA ESTEVEZ,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACI0N DE VEHICULOS DE MOTOR Y MOTOCICLETAS,"COMERCIO AL POR MENOR, EXCEPTO DE VEHICULOS DE MOTOR Y MOTOCICLETAS",COMERCIO AL POR MENOR DE CARNICERIA,Carniceria
Abierto,270025855,USERA,ORCASITAS           ,CALLE                   ,VILLABONA                                         ,CARNICERIA ANTONIO GIL,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACI0N DE VEHICULOS DE MOTOR Y MOTOCICLETAS,"COMERCIO AL POR MENOR, EXCEPTO DE VEHICULOS DE MOTOR Y MOTOCICLETAS",COMERCIO AL POR MENOR DE CARNICERIA,Carniceria
Abierto,270029155,CENTRO,SOL                 ,CALLE                   ,MAYOR                                             ,RODRIGUEZ ABAD VICENTE,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACI0N DE VEHICULOS DE MOTOR Y MOTOCICLETAS,"COMERCIO AL POR MENOR, EXCEPTO DE VEHICULOS DE MOTOR Y MOTOCICLETAS",COMERCIO AL POR MENOR DE PRENDAS DE VESTIR EN ESTABLECIMIENTOS ESPECIALIZADOS,Tienda de ropa
Abierto,270035233,ARGANZUELA,LEGAZPI             ,CALLE                   ,TENIENTE CORONEL NOREÑA                           ,MERCADONA,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACI0N DE VEHICULOS DE MOTOR Y MOTOCICLETAS,"COMERCIO AL POR MENOR, EXCEPTO DE VEHICULOS DE MOTOR Y MOTOCICLETAS",COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR,Pescaderia
